scientificName,species,order,NAME_0,NAME_1,TYPE_1,ENGTYPE_1,DEP_ID,year,basisOfRecord,elevation,regbio,longitude,latitude,region
"Platyrrhinus albericoi Velazco, 2005",Platyrrhinus albericoi,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,1519,28,-72.799917,5.260528,3
"Platyrrhinus brachycephalus (Rouk & Carter, 1972)",Platyrrhinus brachycephalus,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,521,28,-71.821944,6.35675,3
"Platyrrhinus brachycephalus (Rouk & Carter, 1972)",Platyrrhinus brachycephalus,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,1994,Especimen,472,28,-73.55605,4.26866,2
"Platyrrhinus dorsalis (Thomas, 1900)",Platyrrhinus dorsalis,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,1580,28,-72.863,5.253306,3
"Platyrrhinus helleri (Peters, 1866)",Platyrrhinus helleri,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
"Platyrrhinus helleri (Peters, 1866)",Platyrrhinus helleri,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,180,28,-71.603833,6.198953,3
"Platyrrhinus helleri (Peters, 1866)",Platyrrhinus helleri,Chiroptera,Colombia,Boyaca,Departamento,Department,COL_6,2003,Especimen,1471,28,-73.2865,4.8572,2
"Platyrrhinus ismaeli Velazco, 2005",Platyrrhinus ismaeli,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,2018,Especimen,740,28,-73.425,4.522778,2
"Platyrrhinus umbratus (Lyon, 1902)",Platyrrhinus umbratus,Chiroptera,Colombia,Meta,Departamento,Department,COL_20,1969,Especimen,458,28,-73.55701148,4.266526518,3
"Platyrrhinus vittatus (Peters, 1860)",Platyrrhinus vittatus,Chiroptera,Colombia,Boyaca,Departamento,Department,COL_6,2000,Especimen,841,28,-73.2486,4.88111,2
"Rhogeessa io Thomas, 1903",Rhogeessa io,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,295,28,-71.772222,6.330167,3
"Rhynchonycteris naso (Wied-Neuwied, 1820)",Rhynchonycteris naso,Chiroptera,Colombia,Cundinamarca,Departamento,Department,COL_14,1994,Especimen,472,28,-73.55605,4.26866,2
"Saccopteryx bilineata (Temminck, 1838)",Saccopteryx bilineata,Chiroptera,Colombia,Arauca,Intendencia,Intendancy,COL_3,2015,Especimen,323,28,-71.778111,6.283528,3
"Sturnira ludovici Anthony, 1924",Sturnira ludovici,Chiroptera,Colombia,Casanare,Intendencia,Intendancy,COL_10,2015,Especimen,1580,28,-72.863,5.253306,3
